"","Subject_Anger","Session_Anger","Time_Anger","Frame_Anger","Subject_Deboche","Session_Deboche","Time_Deboche","Frame_Deboche","Subject_Disgust","Session_Disgust","Time_Disgust","Frame_Disgust","Subject_Fear","Session_Fear","Time_Fear","Frame_Fear","Subject_Happiness","Session_Happiness","Time_Happiness","Frame_Happiness","Subject_Sadness","Session_Sadness","Time_Sadness","Frame_Sadness","Subject_Surprise","Session_Surprise","Time_Surprise","Frame_Surprise"
"1",2,"s2",280,12310,1,"s1",364,5824,1,"s1",343,3853,1,"s2",409,16879,1,"s1",185,2735,2,"s1",391,6661,1,"s1",400,7840
"2",4,"s1",380,7490,2,"s1",382,7612,2,"s2",450,17190,2,"s1",363,10443,2,"s2",355,15205,4,"s2",432,13182,2,"s1",393,9513
"3",5,"s2",343,14653,4,"s2",280,12100,4,"s2",450,15990,5,"s2",450,21000,3,"s1",182,2582,5,"s1",229,7579,4,"s2",315,14925
"4",6,"s1",257,7517,5,"s2",315,15705,5,"s1",306,6576,6,"s1",354,9564,4,"s1",340,3610,6,"s2",396,13686,5,"s1",449,11189
"5",8,"s1",410,10280,6,"s2",250,12490,6,"s1",429,4689,7,"s2",406,17476,5,"s1",365,5585,7,"s2",302,13592,6,"s1",241,8491
"6",11,"s2",169,12949,8,"s2",299,7349,7,"s2",371,16481,8,"s1",450,12240,6,"s2",268,14548,8,"s1",30,8070,7,"s2",340,15490
"7",12,"s2",215,14525,9,"s1",442,7702,8,"s1",429,7479,9,"s2",413,18863,7,"s1",355,3715,11,"s2",245,15005,8,"s1",431,11261
"8",13,"s1",101,8171,11,"s1",141,7581,9,"s2",262,17722,11,"s2",160,18670,8,"s1",364,6424,12,"s2",260,16580,9,"s2",198,16638
"9",14,"s2",365,13325,12,"s2",96,15486,11,"s1",50,5390,12,"s1",429,11379,9,"s2",255,15705,13,"s2",302,14222,11,"s1",121,9811
"10",15,"s1",331,12841,13,"s2",15,12975,12,"s2",123,19413,14,"s2",284,19124,11,"s2",38,15848,14,"s1",201,7371,12,"s1",231,11361
"11",16,"s2",180,12840,14,"s1",412,8572,13,"s2",199,16969,15,"s1",411,14811,12,"s2",75,17415,17,"s2",328,16168,13,"s1",112,9172
"12",17,"s2",368,14198,15,"s2",419,18209,14,"s2",437,18347,17,"s1",325,12085,13,"s2",69,14979,18,"s2",80,14990,14,"s1",262,10282
"13",18,"s1",234,9054,16,"s1",141,7911,15,"s2",364,21964,19,"s2",308,19388,14,"s2",286,16216,19,"s1",418,8278,15,"s1",389,13829
"14",19,"s2",250,13780,17,"s2",199,15049,17,"s2",367,19177,20,"s1",313,10543,15,"s1",320,8750,20,"s2",404,14714,16,"s2",216,16626
"15",20,"s2",368,12698,18,"s1",185,7925,18,"s2",192,18042,21,"s1",285,9495,16,"s2",74,15554,21,"s1",437,5717,17,"s2",249,18069
"16",21,"s1",449,7649,19,"s2",381,14841,19,"s2",427,18577,22,"s2",395,19445,17,"s1",344,6014,22,"s2",289,15289,18,"s2",125,17015
"17",22,"s2",421,13441,20,"s2",365,13655,21,"s2",414,16434,24,"s1",346,8806,18,"s2",49,16039,24,"s1",323,4823,19,"s2",378,17598
"18",25,"s2",377,11957,22,"s1",210,7920,22,"s2",400,18400,25,"s1",368,10028,19,"s1",331,6271,25,"s1",412,6112,20,"s1",321,9621
"19",27,"s2",286,13216,24,"s2",394,11794,24,"s2",402,15672,26,"s1",412,12982,20,"s1",325,4765,27,"s2",349,15229,21,"s2",415,15445
"20",31,"s2",330,11400,25,"s1",402,7152,25,"s2",417,16827,27,"s1",382,11242,21,"s2",428,14468,28,"s2",323,13943,22,"s1",358,10138
