frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,0.10,0.00,0.04,0.00,0.00,0.00,0.80,0.00,0.00,3.68,0.66,0.31,1.86,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00
2,0,0.067,0.98,1,0.00,0.00,0.00,0.08,0.00,0.37,0.00,0.00,0.00,0.70,0.00,0.01,3.03,0.59,0.14,1.68,0.09,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
3,0,0.133,0.98,1,0.00,0.00,0.00,0.04,0.00,0.36,0.00,0.00,0.00,0.75,0.00,0.01,2.55,0.56,0.04,1.53,0.29,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
4,0,0.200,0.98,1,0.01,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.86,0.08,0.01,2.33,0.53,0.04,1.27,0.90,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
5,0,0.267,0.98,1,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.08,0.02,2.42,0.50,0.00,1.20,1.25,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
6,0,0.334,0.98,1,0.07,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.89,0.21,0.15,2.47,0.67,0.00,1.24,1.17,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
7,0,0.400,0.98,1,0.07,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.73,0.13,0.15,2.50,0.62,0.06,1.41,0.63,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
8,0,0.467,0.98,1,0.16,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.45,0.13,0.16,2.59,0.47,0.06,1.16,0.73,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
9,0,0.534,0.98,1,0.17,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.36,0.00,0.15,2.96,0.11,0.09,1.05,0.98,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
10,0,0.601,0.98,1,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.24,3.10,0.08,0.13,0.95,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
11,0,0.667,0.98,1,0.38,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.25,3.04,0.07,0.27,1.33,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
12,0,0.734,0.98,1,0.36,0.01,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.58,0.00,0.13,2.86,0.08,0.32,1.48,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
13,0,0.801,0.98,1,0.31,0.01,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.45,0.00,0.07,2.57,0.19,0.22,1.62,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
14,0,0.868,0.98,1,0.24,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.48,0.00,0.02,2.27,0.34,0.21,1.45,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
15,0,0.934,0.98,1,0.28,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.50,0.09,0.02,1.92,0.43,0.18,1.33,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
16,0,1.001,0.98,1,0.33,0.00,0.00,0.00,0.00,1.02,0.00,0.00,0.00,0.67,0.35,0.00,1.83,0.46,0.21,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00
17,0,1.068,0.98,1,0.29,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.77,0.50,0.00,1.67,0.59,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
18,0,1.134,0.98,1,0.28,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.77,0.80,0.00,1.57,0.92,0.05,0.57,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
19,0,1.201,0.98,1,0.37,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.78,0.60,0.00,1.71,0.94,0.02,0.57,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
20,0,1.268,0.98,1,0.47,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.48,0.51,0.11,1.83,0.94,0.00,0.29,0.51,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
21,0,1.335,0.98,1,0.54,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.13,0.20,2.07,0.75,0.00,0.31,0.48,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
22,0,1.401,0.98,1,0.59,0.02,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.08,0.46,0.40,2.39,0.75,0.00,0.23,0.32,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
23,0,1.468,0.98,1,0.66,0.02,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.12,0.40,0.60,2.42,0.67,0.00,0.45,0.20,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
24,0,1.535,0.98,1,0.75,0.02,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.09,0.38,0.80,2.66,0.61,0.00,0.56,0.15,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
25,0,1.602,0.98,1,0.72,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.07,0.00,0.87,2.32,0.57,0.00,0.97,0.13,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
26,0,1.668,0.98,1,0.68,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,1.03,2.42,0.45,0.00,0.95,0.17,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
27,0,1.735,0.98,1,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,2.25,0.40,0.00,0.87,0.24,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
28,0,1.802,0.98,1,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.84,2.11,0.21,0.00,0.54,0.28,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
29,0,1.869,0.98,1,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.69,2.56,0.13,0.32,0.65,0.97,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
30,0,1.935,0.98,1,0.77,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.19,0.60,2.49,0.01,0.57,0.79,1.41,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
31,0,2.002,0.98,1,0.78,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.25,0.79,2.65,0.01,0.71,0.81,1.87,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
32,0,2.069,0.98,1,0.65,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.24,0.81,2.40,0.14,0.47,0.75,1.42,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
33,0,2.135,0.98,1,0.70,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.16,0.67,1.76,0.14,0.23,0.50,1.35,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00
34,0,2.202,0.98,1,0.95,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.65,1.06,0.14,0.08,0.49,1.36,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
35,0,2.269,0.98,1,1.13,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.51,0.14,0.00,0.00,0.46,1.66,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
36,0,2.336,0.98,1,1.25,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.54,0.00,0.00,0.10,0.56,1.61,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
37,0,2.402,0.98,1,1.29,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.04,0.60,0.00,0.00,0.21,0.62,1.38,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
