frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,2.53,1.63,0.07,0.17,0.00,0.00,0.00,0.00,0.03,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.067,0.98,1,2.30,1.34,0.05,0.07,0.00,0.04,0.00,0.00,0.17,0.86,0.00,0.00,0.00,0.02,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.133,0.98,1,2.11,1.17,0.02,0.01,0.00,0.04,0.00,0.00,0.20,0.81,0.00,0.00,0.00,0.03,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
4,0,0.200,0.98,1,2.01,1.01,0.00,0.01,0.00,0.04,0.00,0.00,0.12,0.78,0.00,0.00,0.00,0.04,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.267,0.98,1,1.97,1.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.79,0.00,0.00,0.00,0.05,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.333,0.98,1,2.03,0.80,0.04,0.02,0.00,0.00,0.00,0.00,0.04,0.82,0.00,0.00,0.00,0.04,0.04,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.400,0.98,1,1.76,0.55,0.20,0.02,0.00,0.00,0.00,0.00,0.02,0.93,0.00,0.00,0.00,0.02,0.22,0.00,0.36,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.467,0.98,1,1.30,0.17,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.32,0.00,0.87,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
9,0,0.533,0.98,1,0.77,0.00,0.45,0.00,0.02,0.00,0.00,0.03,0.00,1.06,0.00,0.00,0.00,0.03,0.35,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
10,0,0.600,0.98,1,0.57,0.00,0.32,0.00,0.02,0.00,0.00,0.13,0.00,0.95,0.00,0.00,0.00,0.15,0.23,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
11,0,0.667,0.98,1,0.56,0.25,0.30,0.00,0.02,0.00,0.01,0.22,0.00,0.79,0.00,0.00,0.04,0.37,0.29,0.06,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
12,0,0.733,0.98,1,0.53,0.40,0.36,0.00,0.00,0.00,0.01,0.28,0.00,0.64,0.00,0.08,0.04,0.63,0.28,0.16,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
13,0,0.800,0.98,1,0.53,0.68,0.65,0.00,0.00,0.00,0.03,0.20,0.00,0.52,0.00,0.15,0.04,0.81,0.36,0.32,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
14,0,0.867,0.98,1,0.44,0.63,0.78,0.00,0.00,0.00,0.03,0.17,0.00,0.59,0.00,0.26,0.00,0.82,0.38,0.48,0.47,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
15,0,0.933,0.98,1,0.41,0.57,0.90,0.00,0.00,0.00,0.03,0.08,0.00,0.64,0.00,0.27,0.00,0.81,0.46,0.58,0.40,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
16,0,1.000,0.98,1,0.40,0.51,0.85,0.00,0.00,0.00,0.02,0.06,0.00,0.77,0.00,0.26,0.00,0.83,0.47,0.55,0.48,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
17,0,1.067,0.98,1,0.46,0.65,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.15,0.00,0.90,0.45,0.45,0.60,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
18,0,1.133,0.98,1,0.47,0.82,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.11,0.00,0.98,0.35,0.30,0.66,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
19,0,1.200,0.98,1,0.43,0.86,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.05,0.00,1.08,0.32,0.20,0.70,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
20,0,1.267,0.98,1,0.37,0.70,0.73,0.00,0.00,0.00,0.00,0.01,0.00,0.97,0.00,0.09,0.00,1.21,0.25,0.11,0.58,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
21,0,1.333,0.98,1,0.35,0.62,0.60,0.00,0.00,0.00,0.00,0.01,0.00,1.00,0.00,0.11,0.00,1.26,0.24,0.11,0.48,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
22,0,1.400,0.98,1,0.35,0.54,0.55,0.00,0.00,0.00,0.00,0.01,0.00,1.07,0.00,0.13,0.00,1.25,0.26,0.18,0.39,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
23,0,1.467,0.98,1,0.29,0.45,0.57,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.21,0.00,1.19,0.28,0.29,0.45,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
24,0,1.533,0.98,1,0.26,0.39,0.64,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.24,0.00,1.15,0.30,0.29,0.53,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
