frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.00,3.57,1.20,0.00,1.04,0.95,1.66,2.38,0.00,0.00,0.64,0.00,2.25,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.00,0.00,0.00,3.64,1.22,0.00,0.97,1.03,1.66,2.44,0.00,0.00,0.79,0.22,2.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.00,0.00,0.00,3.70,1.23,0.00,0.84,1.02,1.67,2.51,0.00,0.00,0.79,0.41,2.15,0.00,0.03,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.00,0.00,0.00,3.79,1.25,0.00,0.72,0.98,1.71,2.56,0.00,0.00,0.75,0.52,2.11,0.00,0.03,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.00,0.00,0.00,3.71,1.26,0.00,0.65,0.96,1.77,2.51,0.00,0.00,0.56,0.68,2.17,0.00,0.03,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.00,0.00,0.00,3.61,1.26,0.00,0.64,0.97,1.81,2.43,0.00,0.00,0.47,0.75,2.20,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.00,0.00,0.00,3.46,1.27,0.00,0.66,0.98,1.83,2.39,0.00,0.00,0.41,0.83,2.16,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.00,0.00,0.00,3.51,1.25,0.00,0.70,0.97,1.83,2.35,0.00,0.00,0.47,0.87,2.09,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.00,0.00,0.00,3.66,1.23,0.00,0.72,1.00,1.83,2.32,0.00,0.00,0.58,0.98,1.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.00,0.00,0.00,3.85,1.19,0.00,0.70,0.97,1.82,2.21,0.00,0.00,0.59,1.12,1.97,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.00,0.00,0.00,3.93,1.15,0.00,0.58,0.96,1.77,2.17,0.00,0.00,0.61,1.34,1.96,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
12,0,0.367,0.98,1,0.00,0.00,0.00,3.81,1.12,0.00,0.58,0.90,1.73,2.07,0.00,0.00,0.60,1.52,1.95,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
13,0,0.400,0.98,1,0.00,0.00,0.00,3.84,1.14,0.00,0.50,0.94,1.70,2.02,0.00,0.00,0.70,1.67,1.94,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
14,0,0.433,0.98,1,0.00,0.00,0.00,3.85,1.18,0.00,0.54,0.96,1.72,2.03,0.00,0.00,0.76,1.71,2.05,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
15,0,0.467,0.98,1,0.00,0.04,0.00,4.08,1.24,0.00,0.49,1.01,1.74,2.02,0.00,0.00,0.82,1.81,2.14,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
16,0,0.500,0.98,1,0.00,0.11,0.00,4.18,1.25,0.00,0.50,1.00,1.75,2.02,0.00,0.00,0.89,1.89,2.34,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
17,0,0.533,0.98,1,0.00,0.30,0.00,4.24,1.21,0.00,0.46,0.94,1.72,1.91,0.00,0.00,0.87,1.96,2.46,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
